DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/10/2015,17:30,QUEENS,11417,40.6807,-73.8446429,"(40.6807, -73.8446429)",ROCKAWAY BOULEVARD,WOODHAVEN BOULEVARD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3274952,PASSENGER VEHICLE,BICYCLE,,,
08/10/2015,18:00,MANHATTAN,10026,40.8011551,-73.9596475,"(40.8011551, -73.9596475)",WEST 110 STREET,MANHATTAN AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3275196,PASSENGER VEHICLE,BICYCLE,,,
08/10/2015,19:33,BROOKLYN,11217,40.6750958,-73.975031,"(40.6750958, -73.975031)",7 AVENUE,BERKELEY PLACE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3275514,PASSENGER VEHICLE,BICYCLE,,,
08/10/2015,8:00,MANHATTAN,10032,40.8440499,-73.9411417,"(40.8440499, -73.9411417)",WEST 171 STREET,FORT WASHINGTON AVENUE,,1,0,0,0,1,0,0,0,Prescription Medication,Unspecified,,,,3274646,PICK-UP TRUCK,BICYCLE,,,
08/10/2015,8:48,MANHATTAN,10029,40.7944657,-73.939629,"(40.7944657, -73.939629)",EAST 112 STREET,2 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3275189,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/10/2015,12:00,BROOKLYN,11209,40.6321002,-74.0304723,"(40.6321002, -74.0304723)",RIDGE BOULEVARD,BAY RIDGE PARKWAY,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3274800,PASSENGER VEHICLE,BICYCLE,,,
08/10/2015,12:20,BROOKLYN,11249,40.7128614,-73.9657826,"(40.7128614, -73.9657826)",WYTHE AVENUE,SOUTH 4 STREET,,1,0,0,0,1,0,0,0,Other Vehicular,Outside Car Distraction,,,,3275558,TAXI,BICYCLE,,,
08/10/2015,13:25,BROOKLYN,11206,40.7016369,-73.9422665,"(40.7016369, -73.9422665)",GRAHAM AVENUE,DEBEVOISE STREET,,1,0,0,0,1,0,0,0,Other Vehicular,,,,,3275559,TAXI,BICYCLE,,,
08/10/2015,14:00,BROOKLYN,11225,40.6580713,-73.960426,"(40.6580713, -73.960426)",FLATBUSH AVENUE,FENIMORE STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3275456,PASSENGER VEHICLE,BICYCLE,,,
08/09/2015,19:00,BROOKLYN,11210,40.6169,-73.9479156,"(40.6169, -73.9479156)",AVENUE N,EAST 27 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3274185,PASSENGER VEHICLE,BICYCLE,,,
